Fecha,Hora,Demanda,Pred. M1,Pred. M2,Pred. M3
2017-12-18,8,800.5699999999999,804.453125,800.0757024453923,800.4253274962697
2017-12-18,9,854.0799999999999,851.2890625,849.7170691962594,850.2406250788976
2017-12-18,10,899.23,882.15625,886.8778653097609,887.656837789903
2017-12-18,11,926.1800000000001,899.7421875,917.930524807453,918.7490539430333
2017-12-18,12,920.54,880.046875,907.0739060089238,907.8742619742458
2017-12-18,13,925.87,894.6484375,934.9314852771441,935.0869472123549
2017-12-18,14,931.6,906.3046875,937.8408754447009,937.4049131860472
2017-12-18,15,928.16,893.6953125,919.6383347256211,919.4757457739926
2017-12-18,16,873.97,847.75,882.3473612039528,882.8267373585811
2017-12-18,17,858.24,807.515625,834.3297604883057,835.4729205838762
2017-12-18,18,929.8199999999999,868.5390625,918.468933716384,919.2100932261262
2017-12-18,19,920.8700000000001,892.5234375,952.4126814868843,953.264012206072
2017-12-18,20,868.5000000000001,847.953125,876.7770073056996,877.7851712221434
2017-12-18,21,800.08,774.1796875,795.645551837474,795.851109467906
2017-12-18,22,704.53,692.4375,718.9573062531767,719.0542678932812
2017-12-18,23,639.23,635.9140625,649.4083766475482,649.9019253291036
2017-12-19,0,593.4899999999999,622.2890625,606.0464918643664,606.6186438738862
2017-12-19,1,570.96,604.4375,577.5355590149815,578.0827588738736
2017-12-19,2,558.4300000000001,594.515625,563.1596096551317,563.7140869064184
2017-12-19,3,558.7,591.140625,557.4828396698722,557.2336002200603
2017-12-19,4,573.34,604.8515625,574.4115506489485,573.6120176318466
2017-12-19,5,607.51,637.34375,607.951274735831,608.0229061531417
2017-12-19,6,636.1500000000001,670.765625,642.9661572163894,643.1751299236523
2017-12-19,7,715.01,740.1796875,707.8782807430621,708.3487475536616
2017-12-19,8,804.14,825.5703125,802.1476857708673,803.0653389923211
2017-12-19,9,863.4000000000001,872.40625,852.5152993753611,853.1654668507022
2017-12-19,10,884.99,903.2734375,895.0993674477614,895.9632241254072
2017-12-19,11,909.89,920.859375,903.9307595799481,905.0051463792746
2017-12-19,12,901.1400000000001,901.1640625,891.1406264308548,892.211716783429
2017-12-19,13,918.6500000000001,915.765625,916.0649229526101,916.949517088558
2017-12-19,14,948.08,927.421875,930.4622178957125,931.1028270647422
2017-12-19,15,956.1100000000001,914.8125,934.6129894246156,934.9191537276805
2017-12-19,16,893.15,868.8671875,908.1402644887855,908.1334993450856
2017-12-19,17,869.73,828.6328125,851.8509950636526,852.135828474361
2017-12-19,18,931.3199999999999,889.65625,928.7371315327862,928.6757702131589
2017-12-19,19,918.1500000000001,913.640625,953.2585337607824,953.379840464173
2017-12-19,20,874.81,869.0703125,873.6426495506319,874.3872424662715
2017-12-19,21,798.02,795.296875,801.0280890022073,801.7762029497983
2017-12-19,22,707.69,713.5546875,716.4454458012174,717.1457043320144
2017-12-19,23,642.47,657.03125,651.819903956537,652.0072108401106
2017-12-20,0,600.84,623.03125,608.8595785881191,608.7880054359318
2017-12-20,1,571.59,605.1796875,584.2251062171821,584.0987548979724
2017-12-20,2,557.63,595.2578125,563.5110024984103,563.0048664615556
2017-12-20,3,553.66,591.8828125,556.485488356416,555.621841775611
2017-12-20,4,555.23,605.59375,569.4151257518869,568.4677837575507
2017-12-20,5,588.48,638.0859375,590.6275168817594,589.7745300345869
2017-12-20,6,627.4,671.5078125,624.7746758488942,624.0657066749055
2017-12-20,7,694.1400000000001,740.921875,699.3826664603456,698.8605900640157
2017-12-20,8,779.35,826.3125,782.2207573765244,782.2338214831906
2017-12-20,9,834.8199999999999,873.1484375,828.8911142716472,829.1009685657048
2017-12-20,10,864.2,904.015625,867.900538739834,867.9157572969506
2017-12-20,11,880.91,921.6015625,884.0792854041637,884.2485025336389
2017-12-20,12,869.1700000000001,901.90625,863.5645266301345,864.2257103728837
2017-12-20,13,904.26,916.5078125,885.6687217332625,887.0367649756606
2017-12-20,14,921.72,928.1640625,916.6470812046153,918.079391240246
2017-12-20,15,922.65,915.5546875,909.5080152816893,911.1285747381384
2017-12-20,16,876.03,869.609375,876.338728448784,878.1337114557525
2017-12-20,17,854.86,829.375,835.4609831642437,837.4289863538713
2017-12-20,18,929.02,890.3984375,914.4692695303376,915.6389211430788
